품   목,항   목,규  격
옥수수,산   지,없음
옥수수,모선명,없음
옥수수,수   분,15% ↓
옥수수,용중,(中)685g/L ↑
옥수수,,(美)695g/L ↑
옥수수,손상립,없음
옥수수,파쇄립,없음
옥수수,이물,1% ↓
옥수수,옥세분진,없음
옥수수,전분가(%),모선변경시 분석
옥수수,조단백(%),모선변경시 분석
옥수수,조지방(%),모선변경시 분석
옥수수,조회분(%),모선변경시 분석
옥수수,조섬유(%),모선변경시 분석
옥수수,발아율(%),모선변경시 분석
수전분,ABS배출조단백,0.350% ↓
수전분,H/C전 조단백,0.350% ↓
수전분,Grits,0.1% ↓
수전분,회  분,0.15% ↓
"옥수수전분
(식품용-내수)",수  분,13% ↓
"옥수수전분
(식품용-내수)",조단백,0.35%↓
"옥수수전분
(식품용-내수)",pH,4~7
"옥수수전분
(식품용-내수)",Grits,0.1% ↓
"옥수수전분
(식품용-내수)",회  분,0.15% ↓
"옥수수전분
(식품용-내수)",백 도,85 ↑
"옥수수전분
(식품용-내수)",SO2(ppm),없음
"옥수수전분
(식품용-내수)",잔류(ppm) - 키트법,없음
"옥수수전분
(식품용-내수)",잔류(ppm) - 비색법,없음
"옥수수전분
(수출용)",수  분,13% ↓
"옥수수전분
(수출용)",조단백,0.35%↓
"옥수수전분
(수출용)",pH,4~7
"옥수수전분
(수출용)",Grits,0.1% ↓
"옥수수전분
(수출용)",회  분,0.15% ↓
"옥수수전분
(수출용)",백 도,85 ↑
"옥수수전분
(수출용)",SO2(ppm),없음
"옥수수전분
(수출용)",잔류(ppm) - 키트법,없음
"옥수수전분
(수출용)",잔류(ppm) - 비색법,없음
"초산전분
(수출용)
(썬에이스)",수  분,13% ↓
"초산전분
(수출용)
(썬에이스)",조단백,0.35%↓
"초산전분
(수출용)
(썬에이스)",pH,3~9
"초산전분
(수출용)
(썬에이스)",회  분,0.8% ↓
"초산전분
(수출용)
(썬에이스)",SO2(ppm),없음
"초산전분
(수출용)
(썬에이스)",잔류(ppm),없음
"초산전분
(썬에이스H)",수  분,15% ↓
"초산전분
(썬에이스H)",pH(20%),4~8
"초산전분
(썬에이스H)",회  분,0.6% ↓
"초산전분
(썬에이스H)",SO2(ppm),50 ↓
"옥수수전분
(산업용)",수  분,13% ↓
"옥수수전분
(산업용)",조단백,0.35%↓
"옥수수전분
(산업용)","pH (GIC0041K)
한국, 삼화",6.0 ~ 7.0
"옥수수전분
(산업용)","pH (GIC0041D)
대상",6.0 ~ 7.0
"옥수수전분
(산업용)","pH (GIC0041P)
한솔 외",4.0 ~ 7.0
"옥수수전분
(산업용)",Grits,0.1% ↓
"옥수수전분
(산업용)",회  분,0.15% ↓
"옥수수전분
(산업용)",백 도,85 ↑
"옥수수전분
(산업용)",잔류(ppm),없음
"옥수수전분
(산업용)",SO2(ppm),없음
